1,1,15,0,13,1013.4
2,1,15,1,15,1013.3
3,1,15,2,13,1012.8
4,1,15,3,13,1011.6
5,1,15,4,16,1011.2
6,1,15,5,16,1010.9
7,1,15,6,13,1010.2
8,1,15,7,11,1010.2
9,1,15,8,12,1010.1
10,1,15,9,12,1010.5
11,1,15,10,16,1010.7
12,1,15,11,14,1011.1
13,1,15,12,13,1011.3
14,1,15,13,12,1011.3
15,1,15,14,12,1011.2
16,1,15,15,11,1011.3
17,1,15,16,7,1011.5
18,1,15,17,5,1011.7
19,1,15,18,3,1012
20,1,15,19,5,1012.2
21,1,15,20,8,1011.9
22,1,15,21,8,1012.1
23,1,15,22,8,1012.2
24,1,15,23,6,1012
25,1,16,0,5,1011.3
26,1,16,1,3,1011.6
27,1,16,2,6,1010.7
28,1,16,3,8,1008.9
29,1,16,4,11,1008.1
30,1,16,5,14,1008.5
31,1,16,6,12,1005
32,1,16,7,16,1004
33,1,16,8,17,1002.2
34,1,16,9,16,1000.3
35,1,16,10,19,998.9
36,1,16,11,24,998.5
37,1,16,12,25,996.3
38,1,16,13,32,993.3
39,1,16,14,33,991.1
40,1,16,15,30,989.8
41,1,16,16,28,991.3
42,1,16,17,26,992.5
43,1,16,18,25,993.8
44,1,16,19,26,995.6
45,1,16,20,24,997.6
46,1,16,21,26,999.4
47,1,16,22,31,1001.2
48,1,16,23,35,1002.4
49,1,17,0,35,1004.7
50,1,17,1,30,1006.7
51,1,17,2,27,1009.1
52,1,17,3,19,1010.3
53,1,17,4,18,1011.2
54,1,17,5,17,1012.1
55,1,17,6,15,1012.9
56,1,17,7,14,1013.6
57,1,17,8,15,1014.5
58,1,17,9,16,1015.2
59,1,17,10,16,1015.6
60,1,17,11,17,1015.9
61,1,17,12,20,1016
62,1,17,13,20,1015.4
63,1,17,14,17,1015.6
64,1,17,15,16,1015.7
65,1,17,16,12,1015.5
66,1,17,17,10,1015.8
67,1,17,18,3,1016.1
68,1,17,19,4,1016.1
69,1,17,20,5,1016
70,1,17,21,5,1016.2
71,1,17,22,4,1016.2
72,1,17,23,4,1015.9
73,2,15,0,21,1013.4
74,2,15,1,21,1012.8
75,2,15,2,21,1012.2
76,2,15,3,22,1011.5
77,2,15,4,21,1011
78,2,15,5,20,1010.5
79,2,15,6,18,1010.9
80,2,15,7,17,1010.6
81,2,15,8,18,1010.8
82,2,15,9,17,1011.1
83,2,15,10,15,1011.3
84,2,15,11,12,1011.5
85,2,15,12,11,1011.3
86,2,15,13,9,1011.2
87,2,15,14,9,1011.1
88,2,15,15,9,1010.7
89,2,15,16,6,1010.6
90,2,15,17,2,1010.6
91,2,15,18,3,1010.5
92,2,15,19,5,1010.5
93,2,15,20,8,1010.3
94,2,15,21,9,1010.5
95,2,15,22,6,1010.3
96,2,15,23,8,1009.9
97,2,16,0,11,1008.7
98,2,16,1,11,1007.1
99,2,16,2,14,1005.7
100,2,16,3,15,1003.9
101,2,16,4,22,1000.3
102,2,16,5,23,997.8
103,2,16,6,25,995
104,2,16,7,30,993.3
105,2,16,8,40,992.1
106,2,16,9,40,991.3
107,2,16,10,44,987.7
108,2,16,11,55,982.7
109,2,16,12,59,982.8
110,2,16,13,50,985.7
111,2,16,14,40,990.5
112,2,16,15,37,992.8
113,2,16,16,42,996
114,2,16,17,43,999.3
115,2,16,18,36,1002.3
116,2,16,19,33,1004.7
117,2,16,20,30,1007.8
118,2,16,21,27,1009.3
119,2,16,22,22,1011.4
120,2,16,23,21,1012.6
121,2,17,0,20,1013.4
122,2,17,1,17,1014.4
123,2,17,2,15,1015.2
124,2,17,3,14,1015.7
125,2,17,4,15,1015.8
126,2,17,5,13,1016.2
127,2,17,6,10,1016.7
128,2,17,7,9,1017
129,2,17,8,8,1017.7
130,2,17,9,6,1018.1
131,2,17,10,5,1018.1
132,2,17,11,5,1018.1
133,2,17,12,7,1018
134,2,17,13,9,1017.5
135,2,17,14,7,1016.8
136,2,17,15,7,1016.2
137,2,17,16,7,1015.9
138,2,17,17,6,1015.7
139,2,17,18,6,1015.8
140,2,17,19,5,1015.8
141,2,17,20,5,1015.3
142,2,17,21,4,1015.1
143,2,17,22,6,1014.8
144,2,17,23,7,1014.2